1 	 127.0.0.1 	 304 	 GET /sign-up HTTP/1.1
1 	 127.0.0.1 	 404 	 GET /public/css/font-awesome.min.css HTTP/1.1
2 	 127.0.0.1 	 404 	 GET /public/css/pure/pure.css HTTP/1.1
3 	 127.0.0.1 	 404 	 GET /public/css/pure/grids-responsive.css HTTP/1.1
4 	 127.0.0.1 	 404 	 GET /public/css/layouts/layout.css HTTP/1.1
5 	 127.0.0.1 	 404 	 GET /public/css/common.css HTTP/1.1
6 	 127.0.0.1 	 200 	 GET /vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css HTTP/1.1
1 	 127.0.0.1 	 404 	 GET /public/css/sign-in-sign-up.css HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /vendor/tooltipster/dist/css/tooltipster.bundle.min.css HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /vendor/tooltipster/dist/css/plugins/tooltipster/sideTip/themes/tooltipster-sideTip-light.min.css HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /vendor/tooltipster/dist/css/plugins/tooltipster/sideTip/themes/tooltipster-sideTip-punk.min.css HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /vendor/jquery/dist/jquery.min.js HTTP/1.1
1 	 127.0.0.1 	 404 	 GET /public/js/common.js HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /vendor/tooltipster/dist/js/tooltipster.bundle.min.js HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /public/js/sign-up/sign-up.js HTTP/1.1
2 	 127.0.0.1 	 404 	 GET /public/js/common.js HTTP/1.1
7 	 127.0.0.1 	 404 	 GET /public/images/logo.png HTTP/1.1
1 	 127.0.0.1 	 304 	 GET /sign-in HTTP/1.1
1 	 127.0.0.1 	 404 	 GET /public/css/font-awesome.min.css HTTP/1.1
1 	 127.0.0.1 	 404 	 GET /public/css/pure/pure.css HTTP/1.1
2 	 127.0.0.1 	 404 	 GET /public/css/pure/grids-responsive.css HTTP/1.1
2 	 127.0.0.1 	 404 	 GET /public/css/layouts/layout.css HTTP/1.1
3 	 127.0.0.1 	 404 	 GET /public/css/common.css HTTP/1.1
3 	 127.0.0.1 	 404 	 GET /public/css/sign-in-sign-up.css HTTP/1.1
4 	 127.0.0.1 	 404 	 GET /public/images/logo.png HTTP/1.1
4 	 127.0.0.1 	 404 	 GET /public/js/common.js HTTP/1.1
5 	 127.0.0.1 	 404 	 GET /public/js/common.js HTTP/1.1
5 	 127.0.0.1 	 404 	 GET /public/css/sign-in-sign-up.css HTTP/1.1
1 	 127.0.0.1 	 200 	 GET /sign-up HTTP/1.1
